status of checking account,duration in month,credit history,purpose,credit amount,savings account/bonds,present employment since,installment rate in percentage,personal status and sex,other debtors / guarantors,present residence since,property,age,other installment plans,housing,number of existing credits,job,no of people being liable,telephone,foreign worker,class
x < 0 DM,18,existing credits paid back duly till now,furniture/equipment,2659,x >= 1000 DM,1  <= x < 4 years,4,male:single,none,2,car or other,28,none,own,1,skilled employee/official,1,none,yes,1
no checking account,18,critical account/ other credits existing (not at this bank),car (new),1028,x <  100 DM,1  <= x < 4 years,4,female:divorced/separated/married,none,3,real estate,36,none,own,2,skilled employee/official,1,none,yes,1
x < 0 DM,8,critical account/ other credits existing (not at this bank),car (new),3398,x <  100 DM,4  <= x < 7 years,1,male:single,none,4,real estate,39,none,own,2,unskilled-resident,1,none,no,1
no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,5801,unknown/ no savings account,x >= 7 years,2,male:single,none,4,if not A121:building society savings agreement/life insurance,49,none,rent,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,24,existing credits paid back duly till now,car (new),1525,x >= 1000 DM,4  <= x < 7 years,4,female:divorced/separated/married,none,3,car or other,34,none,own,1,skilled employee/official,2,"yes, registered under the customers name",yes,1
x >= 200 DM_salary assignments for at least 1 year,36,existing credits paid back duly till now,radio/television,4473,x <  100 DM,x >= 7 years,4,male:single,none,2,car or other,31,none,own,1,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,6,existing credits paid back duly till now,radio/television,1068,x <  100 DM,x >= 7 years,4,male:single,none,4,car or other,28,none,own,1,skilled employee/official,2,none,yes,1
x < 0 DM,24,critical account/ other credits existing (not at this bank),car (used),6615,x <  100 DM,unemployed,2,male:single,none,4,unknown/no property,75,none,for free,2,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
no checking account,18,critical account/ other credits existing (not at this bank),education,1864,100 <= x <  500 DM,1  <= x < 4 years,4,female:divorced/separated/married,none,2,real estate,30,none,own,2,skilled employee/official,1,none,yes,2
0 <= x < 200 DM,60,existing credits paid back duly till now,car (new),7408,100 <= x <  500 DM, x < 1 year,4,female:divorced/separated/married,none,2,if not A121:building society savings agreement/life insurance,24,none,own,1,management/self-employed/highly qualified employee/ officer,1,none,yes,2
no checking account,48,critical account/ other credits existing (not at this bank),car (used),11590,100 <= x <  500 DM,1  <= x < 4 years,2,female:divorced/separated/married,none,4,car or other,24,bank,rent,2,unskilled-resident,1,none,yes,2
x < 0 DM,24,no credits taken/ all credits paid back duly,furniture/equipment,4110,x <  100 DM,x >= 7 years,3,male:single,none,4,unknown/no property,23,bank,rent,2,skilled employee/official,2,none,yes,2
x < 0 DM,6,critical account/ other credits existing (not at this bank),furniture/equipment,3384,x <  100 DM,1  <= x < 4 years,1,male:divorced/separated,none,4,real estate,44,none,rent,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2
0 <= x < 200 DM,13,existing credits paid back duly till now,radio/television,2101,x <  100 DM, x < 1 year,2,female:divorced/separated/married,guarantor,4,if not A121:building society savings agreement/life insurance,23,none,own,1,unskilled-resident,1,none,yes,1
x < 0 DM,15,existing credits paid back duly till now,domestic appliances,1275,unknown/ no savings account,1  <= x < 4 years,4,female:divorced/separated/married,none,2,car or other,24,none,rent,1,skilled employee/official,1,none,yes,2
x < 0 DM,24,existing credits paid back duly till now,furniture/equipment,4169,x <  100 DM,1  <= x < 4 years,4,male:single,none,4,if not A121:building society savings agreement/life insurance,28,none,own,1,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,10,existing credits paid back duly till now,furniture/equipment,1521,x <  100 DM,1  <= x < 4 years,4,male:divorced/separated,none,2,car or other,31,none,own,1,unskilled-resident,1,none,yes,1
0 <= x < 200 DM,24,critical account/ other credits existing (not at this bank),education,5743,x <  100 DM, x < 1 year,2,female:divorced/separated/married,none,4,unknown/no property,24,none,for free,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
x < 0 DM,21,existing credits paid back duly till now,furniture/equipment,3599,x <  100 DM,4  <= x < 7 years,1,female:divorced/separated/married,none,4,car or other,26,none,rent,1,unskilled-resident,1,none,yes,1
0 <= x < 200 DM,18,existing credits paid back duly till now,radio/television,3213,500 <= x < 1000 DM, x < 1 year,1,male:married/widowed,none,3,real estate,25,none,rent,1,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,18,existing credits paid back duly till now,business,4439,x <  100 DM,x >= 7 years,1,male:single,co-applicant,1,real estate,33,bank,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
x >= 200 DM_salary assignments for at least 1 year,10,existing credits paid back duly till now,car (new),3949,x <  100 DM, x < 1 year,1,male:single,guarantor,1,if not A121:building society savings agreement/life insurance,37,none,own,1,unskilled-resident,2,none,yes,1
no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1459,x <  100 DM,1  <= x < 4 years,4,female:divorced/separated/married,none,2,car or other,43,none,own,1,unskilled-resident,1,none,yes,1
0 <= x < 200 DM,13,critical account/ other credits existing (not at this bank),radio/television,882,x <  100 DM, x < 1 year,4,male:single,guarantor,4,real estate,23,none,own,2,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,24,existing credits paid back duly till now,radio/television,3758,500 <= x < 1000 DM,unemployed,1,female:divorced/separated/married,none,4,unknown/no property,23,none,rent,1,unemployed/unskilled-non-resident,1,none,yes,1
no checking account,6,delay in paying off in the past,business,1743,100 <= x <  500 DM,1  <= x < 4 years,1,male:single,none,2,real estate,34,none,own,2,unskilled-resident,1,none,yes,1
0 <= x < 200 DM,9,critical account/ other credits existing (not at this bank),education,1136,x >= 1000 DM,x >= 7 years,4,male:single,none,3,unknown/no property,32,none,for free,2,skilled employee/official,2,none,yes,2
no checking account,9,existing credits paid back duly till now,domestic appliances,1236,x <  100 DM, x < 1 year,1,female:divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,9,existing credits paid back duly till now,furniture/equipment,959,x <  100 DM,1  <= x < 4 years,1,female:divorced/separated/married,none,2,car or other,29,none,own,1,skilled employee/official,1,none,no,2
no checking account,18,critical account/ other credits existing (not at this bank),car (used),3229,unknown/ no savings account,unemployed,2,male:single,none,4,unknown/no property,38,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
x < 0 DM,12,no credits taken/ all credits paid back duly,radio/television,6199,x <  100 DM,1  <= x < 4 years,4,male:single,none,2,if not A121:building society savings agreement/life insurance,28,none,rent,2,skilled employee/official,1,"yes, registered under the customers name",yes,2
no checking account,10,existing credits paid back duly till now,education,727,500 <= x < 1000 DM,x >= 7 years,4,male:single,none,4,unknown/no property,46,none,for free,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,24,existing credits paid back duly till now,car (new),1246,x <  100 DM, x < 1 year,4,male:single,none,2,real estate,23,stores,own,1,unskilled-resident,1,none,yes,2
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,2331,unknown/ no savings account,x >= 7 years,1,male:single,co-applicant,4,real estate,49,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,36,delay in paying off in the past,radio/television,4463,x <  100 DM,1  <= x < 4 years,4,male:single,none,2,car or other,26,none,own,2,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2
no checking account,12,existing credits paid back duly till now,radio/television,776,x <  100 DM,1  <= x < 4 years,4,male:married/widowed,none,2,real estate,28,none,own,1,skilled employee/official,1,none,yes,1
x < 0 DM,30,existing credits paid back duly till now,furniture/equipment,2406,x <  100 DM,4  <= x < 7 years,4,female:divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee/official,1,none,yes,2
0 <= x < 200 DM,18,existing credits paid back duly till now,education,1239,unknown/ no savings account,1  <= x < 4 years,4,male:single,none,4,unknown/no property,61,none,for free,1,skilled employee/official,1,none,yes,1
x >= 200 DM_salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,3399,unknown/ no savings account,x >= 7 years,2,male:single,none,3,car or other,37,none,own,1,management/self-employed/highly qualified employee/ officer,1,none,yes,1
x >= 200 DM_salary assignments for at least 1 year,12,delay in paying off in the past,car (new),2247,x <  100 DM,1  <= x < 4 years,2,female:divorced/separated/married,none,2,car or other,36,stores,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,6,existing credits paid back duly till now,furniture/equipment,1766,x <  100 DM,1  <= x < 4 years,1,male:married/widowed,none,2,if not A121:building society savings agreement/life insurance,21,none,rent,1,skilled employee/official,1,none,yes,1
x < 0 DM,18,existing credits paid back duly till now,furniture/equipment,2473,x <  100 DM,unemployed,4,male:single,none,1,car or other,25,none,own,1,unemployed/unskilled-non-resident,1,none,yes,2
no checking account,12,existing credits paid back duly till now,business,1542,x <  100 DM,4  <= x < 7 years,2,male:single,none,4,car or other,36,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,18,critical account/ other credits existing (not at this bank),car (used),3850,x <  100 DM,4  <= x < 7 years,3,male:single,none,1,car or other,27,none,own,2,skilled employee/official,1,none,yes,1
x < 0 DM,18,existing credits paid back duly till now,furniture/equipment,3650,x <  100 DM, x < 1 year,1,female:divorced/separated/married,none,4,car or other,22,none,rent,1,skilled employee/official,1,none,yes,1
x < 0 DM,36,existing credits paid back duly till now,furniture/equipment,3446,x <  100 DM,x >= 7 years,4,male:single,none,2,car or other,42,none,own,1,skilled employee/official,2,none,yes,2
0 <= x < 200 DM,18,existing credits paid back duly till now,furniture/equipment,3001,x <  100 DM,4  <= x < 7 years,2,female:divorced/separated/married,none,4,real estate,40,none,rent,1,skilled employee/official,1,none,yes,1
no checking account,36,existing credits paid back duly till now,car (new),3079,unknown/ no savings account,1  <= x < 4 years,4,male:single,none,4,real estate,36,none,own,1,skilled employee/official,1,none,yes,1
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,6070,x <  100 DM,x >= 7 years,3,male:single,none,4,car or other,33,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,10,critical account/ other credits existing (not at this bank),furniture/equipment,2146,x <  100 DM, x < 1 year,1,female:divorced/separated/married,none,3,real estate,23,none,rent,2,skilled employee/official,1,none,yes,1
no checking account,60,critical account/ other credits existing (not at this bank),car (new),13756,unknown/ no savings account,x >= 7 years,2,male:single,none,4,unknown/no property,63,bank,for free,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
